x,y,z
542,33,"522
"
542,34,"522
"
543,31,"522
"
543,28,"522
"
543,34,"522
"
543,29,"522
"
543,37,"522
"
543,31,"522
"
543,23,"522
"
543,29,"523
"
543,38,"523
"
543,34,"523
"
543,33,"523
"
543,34,"523
"
543,37,"523
"
543,34,"523
"
543,34,"523
"
543,32,"523
"
543,28,"523
"
544,34,"523
"
544,24,"523
"
544,27,"523
"
544,36,"523
"
544,33,"523
"
544,26,"523
"
544,35,"523
"
544,39,"523
"
544,29,"523
"
544,34,"523
"
544,36,"523
"
544,30,"523
"
544,34,"523
"
544,34,"523
"
544,34,"523
"
544,35,"523
"
544,32,"523
"
544,32,"523
"
544,33,"523
"
544,33,"523
"
544,39,"523
"
545,31,"524
"
546,33,"524
"
547,35,"524
"
548,34,"524
"
549,33,"524
"
550,35,"524
"
551,28,"524
"
552,28,"524
"
553,34,"524
"
554,28,"524
"
555,34,"524
"
556,34,"524
"
557,26,"524
"
558,36,"524
"
559,32,"524
"
560,30,"524
"
561,24,"524
"
562,30,"524
"
563,30,"524
"
564,25,"524
"
565,32,"524
"
566,35,"524
"
567,31,"524
"
568,37,"524
"
569,28,"524
"
570,30,"524
"
571,37,"524
"
572,28,"524
"
573,27,"524
"
574,32,"524
"
575,32,"524
"
576,31,"524
"
577,25,"525
"
578,35,"525
"
579,30,"525
"
580,36,"525
"
581,32,"525
"
582,31,"525
"
583,35,"525
"
584,38,"525
"
585,28,"525
"
586,35,"525
"
587,37,"525
"
588,36,"525
"
589,31,"525
"
590,32,"525
"
591,26,"525
"
592,36,"525
"
593,34,"525
"
594,28,"525
"
595,31,"525
"
596,28,"525
"
597,40,"525
"
598,30,"525
"
599,28,"525
"
600,34,"525
"
601,37,"525
"
602,30,"525
"
603,30,"525
"
604,32,"525
"
605,32,"525
"
606,28,"525
"
607,35,"525
"
608,34,"526
"
609,32,"526
"
610,35,"526
"
611,26,"526
"
612,27,"526
"
613,28,"526
"
614,30,"526
"
615,34,"526
"
616,33,"526
"
617,25,"526
"
618,33,"526
"
619,29,"526
"
620,34,"526
"
621,35,"526
"
622,27,"526
"
623,24,"526
"
624,36,"526
"
625,34,"526
"
626,36,"526
"
627,31,"526
"
628,28,"526
"
629,31,"526
"
630,30,"526
"
631,36,"526
"
632,27,"526
"
633,36,"526
"
634,25,"526
"
635,22,"526
"
636,35,"526
"
637,28,"526
"
638,31,"526
"
639,29,"526
"
640,33,"527
"
641,27,"527
"
642,27,"527
"
643,33,"527
"
644,24,"527
"
645,23,"527
"
646,28,"527
"
647,32,"527
"
648,23,"527
"
649,27,"527
"
650,30,"527
"
651,32,"527
"
652,29,"527
"
653,32,"527
"
654,30,"527
"
655,31,"527
"
656,28,"527
"
657,29,"527
"
658,35,"527
"
659,26,"527
"
660,28,"527
"
661,30,"527
"
662,34,"527
"
663,24,"527
"
664,34,"527
"
665,36,"527
"
666,33,"527
"
667,38,"527
"
668,28,"527
"
669,31,"527
"
670,24,"527
"
671,34,"527
"
672,32,"527
"
673,29,"527
"
674,29,"528
"
675,33,"528
"
676,36,"528
"
677,34,"528
"
678,34,"528
"
679,31,"528
"
680,37,"528
"
681,29,"528
"
682,37,"528
"
683,35,"528
"
684,31,"528
"
685,33,"528
"
686,37,"528
"
687,35,"528
"
688,29,"528
"
689,37,"528
"
690,35,"528
"
691,30,"528
"
692,37,"528
"
693,33,"528
"
694,35,"528
"
695,34,"528
"
696,32,"528
"
697,34,"528
"
698,32,"528
"
699,29,"528
"
700,30,"528
"
701,27,"528
"
702,29,"528
"
703,34,"528
"
704,36,"529
"
705,32,"529
"
706,36,"529
"
707,31,"529
"
708,38,"529
"
709,35,"529
"
710,23,"529
"
711,37,"529
"
712,34,"529
"
713,39,"529
"
714,25,"529
"
715,34,"529
"
716,31,"529
"
717,37,"529
"
718,34,"529
"
719,35,"529
"
720,33,"529
"
721,37,"529
"
722,30,"529
"
723,39,"529
"
724,31,"529
"
725,32,"529
"
726,33,"529
"
727,34,"529
"
728,29,"529
"
729,23,"529
"
730,37,"529
"
731,30,"529
"
732,31,"529
"
733,28,"529
"
734,32,"529
"
735,32,"530
"
736,29,"530
"
737,36,"530
"
738,26,"530
"
739,26,"530
"
740,32,"530
"
741,33,"530
"
742,32,"530
"
743,33,"530
"
744,30,"530
"
745,33,"530
"
746,35,"530
"
747,30,"530
"
748,33,"530
"
749,31,"530
"
750,31,"530
"
751,34,"530
"
752,32,"530
"
753,33,"530
"
754,34,"530
"
755,25,"530
"
756,29,"530
"
757,32,"530
"
758,36,"530
"
759,37,"530
"
760,32,"530
"
761,30,"530
"
762,28,"530
"
763,35,"530
"
764,38,"530
"
765,32,"530
"
766,37,"531
"
767,32,"531
"
768,38,"531
"
769,39,"531
"
770,27,"531
"
771,36,"531
"
772,29,"531
"
773,36,"531
"
774,33,"531
"
775,30,"531
"
776,30,"531
"
777,30,"531
"
778,29,"531
"
779,26,"531
"
780,34,"531
"
781,38,"531
"
782,33,"531
"
783,32,"531
"
784,35,"531
"
785,34,"531
"
786,34,"531
"
787,30,"531
"
788,28,"531
"
789,38,"531
"
